"label","class_name","train_images","val_images","test_images","train_cases","val_cases","test_cases"
"0","1::inversion","60","21","0","2","1","0"
"1","10::inversion","32","0","0","1","0","0"
"2","12::inversion","31","0","0","1","0","0"
"3","13::inversion","24","12","0","1","1","0"
"4","14::inversion","34","0","0","1","0","0"
"5","16::inversion","28","0","0","1","0","0"
"6","17::inversion","33","0","0","1","0","0"
"7","18::inversion","26","0","0","1","0","0"
"8","19::inversion","20","0","4","1","0","1"
"9","2::inversion","11","10","10","1","1","1"
"10","21::inversion","25","0","0","1","0","0"
"11","22::inversion","21","0","0","1","0","0"
"12","3::inversion","36","0","0","1","0","0"
"13","4::inversion","16","8","0","1","1","0"
"14","5::inversion","30","0","0","1","0","0"
"15","7::inversion","30","0","6","1","0","1"
"16","8::inversion","34","0","0","1","0","0"
"17","X::inversion","24","0","0","1","0","0"
"18","Y::inversion","32","0","0","1","0","0"
